county,cqr_census_2010_count,july1_2019_pop_est,jan1_2020_pop_est
Travis,1024266,1273554,1285526
Trinity,14585,14530,14457
Tyler,21766,22735,22966
Upshur,39309,41204,41262
Upton,3355,3619,3581
Uvalde,26405,26743,26260
Val Verde,48879,50853,50988
Van Zandt,52579,56376,56503
Victoria,86793,91329,90940
Walker,67861,75949,77300
Waller,43205,54822,55626
Ward,10658,11530,11635
Washington,33718,35570,35612
Webb,250304,280775,280547
Wharton,41280,41224,41279
Wheeler,5410,5178,5168
Wichita,131500,132920,132756
Wilbarger,13535,12465,12393
Willacy,22134,21566,21502
Williamson,422679,589216,602686
Wilson,42918,52127,52839
Winkler,7110,7990,8145
Wise,59127,69609,70078
Wood,41964,45084,45528
Yoakum,7879,8829,8773
Young,18550,19029,19294
Zapata,14018,14196,14280
Zavala,11677,12116,12077
State of Texas,25145565,29001602,29149480
